,frame,match_strength
17_10_nikos.wav 17_30_nikos.wav,3008,249
17_10_nikos.wav 17_30_stavros.wav,2854,265
17_10_nikos.wav 17_40_dp.wav,3230,352
17_10_nikos.wav 17_40_fil.wav,2730,298
17_10_nikos.wav 17_40_giorgos.wav,3220,397
17_10_nikos.wav 17_40_nikos.wav,2790,259
17_10_nikos.wav 17_40_stavros.wav,2811,272
17_10_nikos.wav 18_10_dp.wav,1730,239
17_10_nikos.wav 18_10_fil.wav,2238,225
17_10_nikos.wav 18_10_giorgos.wav,2854,306
17_10_nikos.wav 18_10_stavros.wav,2621,219
17_10_nikos.wav 18_20_dp.wav,3267,281
17_10_nikos.wav 18_20_fil.wav,2301,273
17_10_nikos.wav 18_20_giorgos.wav,3358,280
17_10_nikos.wav 18_20_nikos.wav,3529,314
17_10_nikos.wav 18_20_stavros.wav,2250,238
17_10_nikos.wav 18_30_dp.wav,2342,289
17_10_nikos.wav 18_30_fil.wav,2191,238
17_10_nikos.wav 18_30_giorgos.wav,3235,297
17_10_nikos.wav 18_30_nikos.wav,3816,260
17_10_nikos.wav 18_30_stavros.wav,3429,244
17_10_nikos.wav 18_40_dp.wav,2463,376
17_10_nikos.wav 18_40_fil.wav,1966,204
17_10_nikos.wav 18_40_giorgos.wav,2838,267
17_10_nikos.wav 18_40_nikos.wav,2368,287
17_10_nikos.wav 18_40_stavros.wav,1081,260
17_10_nikos.wav 18_50_dp.wav,2727,260
17_10_nikos.wav 18_50_fil.wav,1984,225
17_10_nikos.wav 18_50_giorgos.wav,5450,355
17_10_nikos.wav 18_50_nikos.wav,3248,344
17_10_nikos.wav 18_50_stavros.wav,1929,224
17_10_nikos.wav 18_58_stavros.wav,1735,260
17_10_stavros.wav 17_20_dp.wav,2355,197
17_10_stavros.wav 17_20_giorgos.wav,2959,220
17_10_stavros.wav 17_20_nikos.wav,2574,170
17_10_stavros.wav 17_20_stavros.wav,2434,171
17_10_stavros.wav 17_30_dp.wav,2311,163
17_10_stavros.wav 17_30_fil.wav,1337,204
17_10_stavros.wav 17_30_giorgos.wav,2056,241
17_10_stavros.wav 17_30_nikos.wav,1535,192
17_10_stavros.wav 17_30_stavros.wav,1379,176
17_10_stavros.wav 17_40_dp.wav,2341,245
17_10_stavros.wav 17_40_fil.wav,1779,202
17_10_stavros.wav 17_40_giorgos.wav,2421,239
17_10_stavros.wav 17_40_nikos.wav,1591,192
17_10_stavros.wav 17_40_stavros.wav,1838,237
17_10_stavros.wav 18_10_dp.wav,1708,189
17_10_stavros.wav 18_10_fil.wav,1385,208
17_10_stavros.wav 18_10_giorgos.wav,1725,212
17_10_stavros.wav 18_10_stavros.wav,1939,186
17_10_stavros.wav 18_20_dp.wav,1882,213
17_10_stavros.wav 18_20_fil.wav,1607,214
17_10_stavros.wav 18_20_giorgos.wav,2003,177
17_10_stavros.wav 18_20_nikos.wav,3220,237
17_10_stavros.wav 18_20_stavros.wav,1922,195
17_10_stavros.wav 18_30_dp.wav,1532,223
17_10_stavros.wav 18_30_fil.wav,2109,175
17_10_stavros.wav 18_30_giorgos.wav,2650,193
17_10_stavros.wav 18_30_nikos.wav,3645,203
17_10_stavros.wav 18_30_stavros.wav,1478,219
17_10_stavros.wav 18_40_dp.wav,1383,226
17_10_stavros.wav 18_40_fil.wav,2534,186
17_10_stavros.wav 18_40_giorgos.wav,2550,245
17_10_stavros.wav 18_40_nikos.wav,2468,257
17_10_stavros.wav 18_40_stavros.wav,1955,199
17_10_stavros.wav 18_50_dp.wav,1780,181
17_10_stavros.wav 18_50_fil.wav,1440,171
17_10_stavros.wav 18_50_giorgos.wav,3625,267
17_10_stavros.wav 18_50_nikos.wav,1981,201
17_10_stavros.wav 18_50_stavros.wav,1840,195
17_10_stavros.wav 18_58_stavros.wav,1867,159
17_20_dp.wav 17_20_giorgos.wav,2610,1087
17_20_dp.wav 17_20_nikos.wav,2221,610
17_20_dp.wav 17_20_stavros.wav,2048,847
17_20_dp.wav 17_30_dp.wav,3268,242
17_20_dp.wav 17_30_fil.wav,2316,281
17_20_dp.wav 17_30_giorgos.wav,3800,246
17_20_dp.wav 17_30_nikos.wav,2349,251
17_20_dp.wav 17_30_stavros.wav,2195,211
17_20_dp.wav 17_40_dp.wav,4162,288
17_20_dp.wav 17_40_fil.wav,2649,218
17_20_dp.wav 17_40_giorgos.wav,4156,351
17_20_dp.wav 17_40_nikos.wav,3326,261
17_20_dp.wav 17_40_stavros.wav,2788,236
17_20_dp.wav 18_10_dp.wav,3196,277
17_20_dp.wav 18_10_fil.wav,2814,233
17_20_dp.wav 18_10_giorgos.wav,2200,337
17_20_dp.wav 18_10_stavros.wav,3218,263
17_20_dp.wav 18_20_dp.wav,2431,274
17_20_dp.wav 18_20_fil.wav,2625,251
17_20_dp.wav 18_20_giorgos.wav,3379,293
17_20_dp.wav 18_20_nikos.wav,3230,285
17_20_dp.wav 18_20_stavros.wav,1721,222
17_20_dp.wav 18_30_dp.wav,2199,282
17_20_dp.wav 18_30_fil.wav,2894,273
17_20_dp.wav 18_30_giorgos.wav,3159,312
17_20_dp.wav 18_30_nikos.wav,3516,264
17_20_dp.wav 18_30_stavros.wav,3433,248
17_20_dp.wav 18_40_dp.wav,3325,287
17_20_dp.wav 18_40_fil.wav,1686,303
17_20_dp.wav 18_40_giorgos.wav,4255,369
17_20_dp.wav 18_40_nikos.wav,3259,296
17_20_dp.wav 18_40_stavros.wav,3657,279
17_20_dp.wav 18_50_dp.wav,2642,357
17_20_dp.wav 18_50_fil.wav,3293,233
