,frame,match_strength
17_10_fil.wav 17_20_dp.wav,3435,203.0
17_10_fil.wav 17_20_giorgos.wav,2739,196.0
17_10_fil.wav 17_20_nikos.wav,1764,198.0
17_10_fil.wav 17_20_stavros.wav,2177,234.0
17_10_fil.wav 17_30_dp.wav,2361,186.0
17_10_fil.wav 17_30_fil.wav,1911,220.0
17_10_fil.wav 17_30_giorgos.wav,2863,240.0
17_10_fil.wav 17_30_nikos.wav,1892,192.0
17_10_fil.wav 17_30_stavros.wav,1117,174.0
17_10_fil.wav 17_40_dp.wav,2121,196.0
17_10_fil.wav 17_40_fil.wav,2432,203.0
17_10_fil.wav 17_40_giorgos.wav,1421,226.0
17_10_fil.wav 17_40_nikos.wav,1980,194.0
17_10_fil.wav 17_40_stavros.wav,2147,188.0
17_10_fil.wav 18_10_dp.wav,2210,248.0
17_10_fil.wav 18_10_fil.wav,1804,178.0
17_10_fil.wav 18_10_giorgos.wav,1669,234.0
17_10_fil.wav 18_10_stavros.wav,2095,193.0
17_10_fil.wav 18_20_dp.wav,3350,173.0
17_10_fil.wav 18_20_fil.wav,1806,218.0
17_10_fil.wav 18_20_giorgos.wav,2810,238.0
17_10_fil.wav 18_20_nikos.wav,3389,203.0
17_10_fil.wav 18_20_stavros.wav,2060,245.0
17_10_fil.wav 18_30_dp.wav,2206,230.0
17_10_fil.wav 18_30_fil.wav,2288,216.0
17_10_fil.wav 18_30_giorgos.wav,2554,238.0
17_10_fil.wav 18_30_nikos.wav,1599,214.0
17_10_fil.wav 18_30_stavros.wav,2076,194.0
17_10_fil.wav 18_40_dp.wav,2763,216.0
17_10_fil.wav 18_40_fil.wav,1770,210.0
17_10_fil.wav 18_40_giorgos.wav,2100,276.0
17_10_fil.wav 18_40_nikos.wav,2394,224.0
17_10_fil.wav 18_40_stavros.wav,1623,270.0
17_10_fil.wav 18_50_dp.wav,1738,224.0
17_10_fil.wav 18_50_fil.wav,884,199.0
17_10_fil.wav 18_50_giorgos.wav,10102,254.0
17_10_fil.wav 18_50_nikos.wav,1647,228.0
17_10_fil.wav 18_50_stavros.wav,2002,187.0
17_10_fil.wav 18_58_stavros.wav,1928,182.0
17_10_giorgos.wav 17_10_nikos.wav,3745,536.0
17_10_giorgos.wav 17_10_stavros.wav,2800,729.0
17_10_giorgos.wav 17_20_dp.wav,2403,258.0
17_10_giorgos.wav 17_20_giorgos.wav,3921,310.0
